Nodes,extVar
10,100.0
10,100.0
10,100.0
10,100.0
10,100.0
10,100.0
10,100.0
10,100.0
10,100.0
10,100.0
10,100.0
10,100.0
10,100.0
10,100.0
10,100.0
10,100.0
10,100.0
10,100.0
10,100.0
10,100.0
10,100.0
10,100.0
10,100.0
10,100.0
10,100.0
10,100.0
10,100.0
10,100.0
10,100.0
10,100.0
10,100.0
25,100.0
25,100.0
25,100.0
25,100.0
25,100.0
25,100.0
25,100.0
25,100.0
25,100.0
25,100.0
25,100.0
25,100.0
25,100.0
25,100.0
25,100.0
25,100.0
25,100.0
25,100.0
25,100.0
25,100.0
25,100.0
25,100.0
25,100.0
25,100.0
25,100.0
25,100.0
25,100.0
25,100.0
25,100.0
25,100.0
25,100.0
30,100.0
30,100.0
30,100.0
30,100.0
30,100.0
30,100.0
30,100.0
30,100.0
30,100.0
30,100.0
30,100.0
30,100.0
30,100.0
30,100.0
30,100.0
30,100.0
30,100.0
30,100.0
30,100.0
30,100.0
30,100.0
30,100.0
30,100.0
30,100.0
30,100.0
30,100.0
30,100.0
30,100.0
30,100.0
30,100.0
30,100.0
40,100.0
40,100.0
40,100.0
40,100.0
40,100.0
40,100.0
40,100.0
40,100.0
40,100.0
40,100.0
40,100.0
40,100.0
40,100.0
40,100.0
40,100.0
40,100.0
40,100.0
40,100.0
40,100.0
40,100.0
40,100.0
40,100.0
40,100.0
40,100.0
40,100.0
40,100.0
40,100.0
40,100.0
40,100.0
40,100.0
40,100.0
45,100.0
45,100.0
45,100.0
45,100.0
45,100.0
45,100.0
45,100.0
45,100.0
45,100.0
45,100.0
45,100.0
45,100.0
45,100.0
45,100.0
45,100.0
45,100.0
45,100.0
45,100.0
45,100.0
45,100.0
45,100.0
45,100.0
45,100.0
45,100.0
45,100.0
45,100.0
45,100.0
45,100.0
45,100.0
45,100.0
45,100.0
55,100.0
55,100.0
55,100.0
55,100.0
55,100.0
55,100.0
55,100.0
55,100.0
55,100.0
55,100.0
55,100.0
55,100.0
55,100.0
55,100.0
55,100.0
55,100.0
55,100.0
55,100.0
55,100.0
55,100.0
55,100.0
55,100.0
55,100.0
55,100.0
55,100.0
55,100.0
55,100.0
55,100.0
55,100.0
55,100.0
55,100.0
60,100.0
60,100.0
60,100.0
60,100.0
60,100.0
60,100.0
60,100.0
60,100.0
60,100.0
60,100.0
60,100.0
60,100.0
60,100.0
60,100.0
60,100.0
60,100.0
60,100.0
60,100.0
60,100.0
60,100.0
60,100.0
60,100.0
60,100.0
60,100.0
60,100.0
60,100.0
60,100.0
60,100.0
60,100.0
60,100.0
60,100.0
70,100.0
70,100.0
70,100.0
70,100.0
70,100.0
70,100.0
70,100.0
70,100.0
70,100.0
70,100.0
70,100.0
70,100.0
70,100.0
70,100.0
70,100.0
70,100.0
70,100.0
70,100.0
70,100.0
70,100.0
70,100.0
70,100.0
70,100.0
70,100.0
70,100.0
70,100.0
70,100.0
70,100.0
70,100.0
70,100.0
70,100.0
75,100.0
75,100.0
75,100.0
75,100.0
75,100.0
75,100.0
75,100.0
75,100.0
75,100.0
75,100.0
75,100.0
75,100.0
75,100.0
75,100.0
75,100.0
75,100.0
75,100.0
75,100.0
75,100.0
75,99.0
75,100.0
75,100.0
75,100.0
75,100.0
75,100.0
75,100.0
75,100.0
75,100.0
75,100.0
75,100.0
75,100.0
85,99.0
85,99.0
85,99.0
85,100.0
85,99.0
85,99.0
85,99.0
85,100.0
85,100.0
85,99.0
85,99.0
85,99.0
85,99.0
85,99.0
85,99.0
85,99.0
85,99.0
85,99.0
85,99.0
85,100.0
85,99.0
85,100.0
85,99.0
85,99.0
85,100.0
85,99.0
85,99.0
85,99.0
85,99.0
85,99.0
85,99.0
90,99.0
90,99.0
90,99.0
90,99.0
90,99.0
90,99.0
90,99.0
90,99.0
90,99.0
90,99.0
90,99.0
90,99.0
90,99.0
90,99.0
90,99.0
90,99.0
90,99.0
90,99.0
90,99.0
90,99.0
90,99.0
90,99.0
90,99.0
90,99.0
90,99.0
90,99.0
90,99.0
90,99.0
90,99.0
90,99.0
90,99.0
100,98.0
100,99.0
100,99.0
100,99.0
100,98.0
100,98.0
100,99.0
100,98.0
100,99.0
100,98.0
100,99.0
100,99.0
100,99.0
100,99.0
100,99.0
100,99.0
100,99.0
100,98.0
100,99.0
100,99.0
100,99.0
100,99.0
100,98.0
100,99.0
100,99.0
100,98.0
100,100.0
100,98.0
100,98.0
100,98.0
100,98.0
105,98.0
105,98.0
105,98.0
105,98.0
105,98.0
105,98.0
105,99.0
105,99.0
105,98.0
105,98.0
105,98.0
105,98.0
105,99.0
105,98.0
105,98.0
105,97.0
105,98.0
105,98.0
105,98.0
105,98.0
105,98.0
105,98.0
105,98.0
105,98.0
105,98.0
105,98.0
105,97.0
105,98.0
105,98.0
105,98.0
105,98.0
